"publication_name";"publication_url";"tome";"year";"url"
"RT-DBSCAN: Real-Time Parallel Clustering of Spatio-Temporal Data Using Spark-Streaming";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_40";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"GPU-Based Implementation of Ptycho-ADMM for High Performance X-Ray Imaging";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_41";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Elastic CPU Cap Mechanism for Timely Dataflow Applications";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_42";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Blockchain-Based Transaction Integrity in Distributed Big Data Marketplace";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_43";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Workload Characterization and Evolutionary Analyses of Tianhe-1A Supercomputer";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_44";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"The Design of Fast and Energy-Efficient Linear Solvers: On the Potential of Half-Precision Arithmetic and Iterative Refinement Techniques";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_45";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Design of Parallel BEM Analyses Framework for SIMD Processors";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_46";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"An Experimental Assessment of Three Point-Insertion Sequences for 3-D Incremental Delaunay Tessellations";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_47";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Learning Knowledge Graph Embeddings via Generalized Hyperplanes";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_48";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Fast Higher-Order Functions for Tensor Calculus with Tensors and Subtensors";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_49";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"The t-Modified Self-Shrinking Generator";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_50";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Simulating Negotiation-Based Cloud Markets";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_51";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Structural Learning of Probabilistic Graphical Models of Cumulative Phenomena";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_52";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Sparse Surface Speed Evaluation on a Dynamic Three-Dimensional Surface Using an Iterative Partitioning Scheme";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_53";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
